Note,Frequency (Hz),Wavelength (cm),,
C0,16.35,2109.89,C0,16.35 => float C0;
 C#0/Db0 ,17.32,1991.47,Db0 ,17.32 => float Db0 ;
D0,18.35,1879.69,D0,18.35 => float D0;
 D#0/Eb0 ,19.45,1774.2,Eb0 ,19.45 => float Eb0 ;
E0,20.6,1674.62,E0,20.6 => float E0;
F0,21.83,1580.63,F0,21.83 => float F0;
 F#0/Gb0 ,23.12,1491.91,Gb0 ,23.12 => float Gb0 ;
G0,24.5,1408.18,G0,24.5 => float G0;
 G#0/Ab0 ,25.96,1329.14,Ab0 ,25.96 => float Ab0 ;
A0,27.5,1254.55,A0,27.5 => float A0;
 A#0/Bb0 ,29.14,1184.13,Bb0 ,29.14 => float Bb0 ;
B0,30.87,1117.67,B0,30.87 => float B0;
C1,32.7,1054.94,C1,32.7 => float C1;
 C#1/Db1 ,34.65,995.73,Db1 ,34.65 => float Db1 ;
D1,36.71,939.85,D1,36.71 => float D1;
 D#1/Eb1 ,38.89,887.1,Eb1 ,38.89 => float Eb1 ;
E1,41.2,837.31,E1,41.2 => float E1;
F1,43.65,790.31,F1,43.65 => float F1;
 F#1/Gb1 ,46.25,745.96,Gb1 ,46.25 => float Gb1 ;
G1,49,704.09,G1,49 => float G1;
 G#1/Ab1 ,51.91,664.57,Ab1 ,51.91 => float Ab1 ;
A1,55,627.27,A1,55 => float A1;
 A#1/Bb1 ,58.27,592.07,Bb1 ,58.27 => float Bb1 ;
B1,61.74,558.84,B1,61.74 => float B1;
C2,65.41,527.47,C2,65.41 => float C2;
 C#2/Db2 ,69.3,497.87,Db2 ,69.3 => float Db2 ;
D2,73.42,469.92,D2,73.42 => float D2;
 D#2/Eb2 ,77.78,443.55,Eb2 ,77.78 => float Eb2 ;
E2,82.41,418.65,E2,82.41 => float E2;
F2,87.31,395.16,F2,87.31 => float F2;
 F#2/Gb2 ,92.5,372.98,Gb2 ,92.5 => float Gb2 ;
G2,98,352.04,G2,98 => float G2;
 G#2/Ab2 ,103.83,332.29,Ab2 ,103.83 => float Ab2 ;
A2,110,313.64,A2,110 => float A2;
 A#2/Bb2 ,116.54,296.03,Bb2 ,116.54 => float Bb2 ;
